CustomerID,Recency,Frequency,Monetary,R,F,M,RFMGroup,RFMScore,RFM_Loyalty_Level,Cluster,Color
12346.0,326,12,77556.46,3,1,1,311,5,Bronze,0,red
12608.0,405,1,415.79,4,4,3,443,11,Platinum,1,green
12745.0,487,2,723.85,4,3,3,433,10,Gold,1,green
12746.0,541,1,254.55,4,4,4,444,12,Platinum,1,green
12747.0,3,26,9276.539999999999,1,1,1,111,3,Bronze,0,red
12748.0,1,336,56599.39,1,1,1,111,3,Bronze,0,red
12749.0,4,9,6897.36,1,1,1,111,3,Bronze,0,red
12777.0,458,1,519.45,4,4,3,443,11,Platinum,1,green
12819.0,459,1,540.52,4,4,3,443,11,Platinum,1,green
12820.0,4,11,2689.52,1,1,1,111,3,Bronze,0,red
12821.0,215,2,220.8,3,3,4,334,10,Gold,1,green
12822.0,71,2,948.88,2,3,2,232,7,Silver,2,blue
12823.0,75,18,6501.5,2,1,1,211,4,Bronze,0,red
12824.0,60,1,397.12,2,4,3,243,9,Gold,2,blue
12825.0,522,2,518.63,4,3,3,433,10,Gold,1,green
12826.0,3,12,2955.75,1,1,1,111,3,Bronze,0,red
12827.0,6,3,430.15000000000003,1,3,3,133,7,Silver,2,blue
12828.0,3,6,1018.71,1,2,2,122,5,Bronze,2,blue
12829.0,337,3,385.3,3,3,3,333,9,Gold,1,green
12830.0,38,6,6814.64,2,2,1,221,5,Bronze,0,red
12831.0,263,3,451.11,3,3,3,333,9,Gold,1,green
12832.0,33,2,383.03,2,3,3,233,8,Silver,2,blue
12833.0,146,1,417.38,3,4,3,343,10,Gold,1,green
12834.0,283,1,312.38,3,4,4,344,11,Platinum,1,green
12835.0,428,41,6043.31,4,1,1,411,6,Silver,0,red
12836.0,60,15,6585.62,2,1,1,211,4,Bronze,0,red
12837.0,174,2,688.41,3,3,3,333,9,Gold,1,green
12838.0,34,10,3398.48,2,1,1,211,4,Bronze,0,red
12839.0,3,26,10071.73,1,1,1,111,3,Bronze,0,red
12840.0,144,7,4041.97,3,2,1,321,6,Silver,3,yellow
12841.0,5,40,7540.68,1,1,1,111,3,Bronze,0,red
12842.0,71,4,1917.99,2,2,2,222,6,Silver,3,yellow
12843.0,66,30,6588.41,2,1,1,211,4,Bronze,0,red
12844.0,30,4,648.6,2,2,3,223,7,Silver,2,blue
12845.0,268,4,354.09,3,2,3,323,8,Silver,1,green
12846.0,683,1,15.58,4,4,4,444,12,Platinum,1,green
12847.0,23,2,1636.8999999999999,1,3,2,132,6,Silver,2,blue
12848.0,676,1,208.0,4,4,4,444,12,Platinum,1,green
12849.0,32,6,3090.56,2,2,1,221,5,Bronze,0,red
12850.0,446,1,330.0,4,4,4,444,12,Platinum,1,green
12851.0,97,2,284.13,2,3,4,234,9,Gold,1,green
12852.0,295,1,311.55,3,4,4,344,11,Platinum,1,green
12853.0,135,11,3907.5,3,1,1,311,5,Bronze,3,yellow
12854.0,79,7,2994.02,2,2,1,221,5,Bronze,3,yellow
12855.0,373,4,650.9399999999999,3,2,3,323,8,Silver,3,yellow
12856.0,8,6,2179.93,1,2,2,122,5,Bronze,2,blue
12857.0,211,6,3688.0,3,2,1,321,6,Silver,3,yellow
12858.0,384,1,177.92,4,4,4,444,12,Platinum,1,green
12859.0,459,1,575.1,4,4,3,443,11,Platinum,1,green
12860.0,694,1,55.47,4,4,4,444,12,Platinum,1,green
12861.0,620,1,68.25,4,4,4,444,12,Platinum,1,green
12862.0,426,2,1008.3199999999999,4,3,2,432,9,Gold,3,yellow
12863.0,53,6,2792.5499999999997,2,2,1,221,5,Bronze,3,yellow
12864.0,139,2,299.57,3,3,4,334,10,Gold,1,green
12867.0,27,13,7913.29,2,1,1,211,4,Bronze,0,red
12868.0,186,8,2247.06,3,1,1,311,5,Bronze,3,yellow
12869.0,682,1,337.66999999999996,4,4,3,443,11,Platinum,1,green
12870.0,376,3,1676.95,3,3,2,332,8,Silver,3,yellow
12871.0,85,3,744.02,2,3,3,233,8,Silver,3,yellow
12872.0,327,12,3685.4900000000002,3,1,1,311,5,Bronze,3,yellow
12873.0,283,3,2027.3,3,3,2,332,8,Silver,3,yellow
12875.0,144,5,1356.99,3,2,2,322,7,Silver,3,yellow
12877.0,4,20,2955.17,1,1,1,111,3,Bronze,0,red
12878.0,237,2,854.99,3,3,2,332,8,Silver,3,yellow
12879.0,45,3,573.22,2,3,3,233,8,Silver,2,blue
12880.0,382,2,640.13,3,3,3,333,9,Gold,1,green
12881.0,276,1,298.0,3,4,4,344,11,Platinum,1,green
12882.0,10,2,1463.04,1,3,2,132,6,Silver,2,blue
12883.0,25,4,703.47,1,2,3,123,6,Silver,2,blue
12884.0,89,1,309.05,2,4,4,244,10,Gold,1,green
12885.0,64,3,1175.22,2,3,2,232,7,Silver,2,blue
12886.0,68,2,1378.4,2,3,2,232,7,Silver,2,blue
12887.0,384,1,222.4,4,4,4,444,12,Platinum,1,green
12888.0,215,2,354.12,3,3,3,333,9,Gold,1,green
12889.0,382,4,385.46000000000004,3,2,3,323,8,Silver,1,green
12890.0,25,2,717.27,1,3,3,133,7,Silver,2,blue
12891.0,186,11,840.5,3,1,3,313,7,Silver,3,yellow
12892.0,397,1,263.38,4,4,4,444,12,Platinum,1,green
12893.0,31,1,188.14,2,4,4,244,10,Gold,2,blue
12894.0,576,1,157.35,4,4,4,444,12,Platinum,1,green
12895.0,43,2,372.8,2,3,3,233,8,Silver,2,blue
12897.0,205,4,514.25,3,2,3,323,8,Silver,3,yellow
12898.0,464,2,310.96000000000004,4,3,4,434,11,Platinum,1,green
12899.0,414,1,366.4,4,4,3,443,11,Platinum,1,green
12900.0,423,1,340.33,4,4,3,443,11,Platinum,1,green
12901.0,9,28,17654.54,1,1,1,111,3,Bronze,0,red
12902.0,265,1,138.68,3,4,4,344,11,Platinum,1,green
12903.0,429,1,833.53,4,4,3,443,11,Platinum,1,green
12904.0,19,2,509.58,1,3,3,133,7,Silver,2,blue
12905.0,577,2,1018.42,4,3,2,432,9,Gold,1,green
12906.0,12,5,2919.81,1,2,1,121,4,Bronze,2,blue
12907.0,396,2,508.91,4,3,3,433,10,Gold,1,green
12908.0,177,5,1776.0,3,2,2,322,7,Silver,3,yellow
12909.0,40,8,3103.19,2,1,1,211,4,Bronze,0,red
12910.0,24,13,5796.52,1,1,1,111,3,Bronze,0,red
12911.0,552,1,1680.47,4,4,2,442,10,Gold,1,green
12912.0,3,5,1662.3,1,2,2,122,5,Bronze,2,blue
12913.0,5,13,6700.860000000001,1,1,1,111,3,Bronze,0,red
12914.0,401,1,223.98,4,4,4,444,12,Platinum,1,green
12915.0,149,4,1174.75,3,2,2,322,7,Silver,3,yellow
12916.0,139,7,4654.0199999999995,3,2,1,321,6,Silver,3,yellow
12917.0,129,6,4359.2,3,2,1,321,6,Silver,3,yellow
12918.0,627,1,10953.5,4,4,1,441,9,Gold,3,yellow
12919.0,9,6,1335.19,1,2,2,122,5,Bronze,2,blue
12920.0,18,4,488.09000000000003,1,2,3,123,6,Silver,2,blue
12921.0,10,74,35921.04,1,1,1,111,3,Bronze,0,red
12922.0,162,1,405.38,3,4,3,343,10,Gold,1,green
12923.0,65,3,789.87,2,3,3,233,8,Silver,2,blue
12924.0,89,12,2469.4,2,1,1,211,4,Bronze,3,yellow
12925.0,5,3,729.3299999999999,1,3,3,133,7,Silver,2,blue
12926.0,412,4,1548.46,4,2,2,422,8,Silver,3,yellow
12927.0,395,1,197.31,4,4,4,444,12,Platinum,1,green
12928.0,36,12,4304.89,2,1,1,211,4,Bronze,0,red
12929.0,312,1,117.85,3,4,4,344,11,Platinum,1,green
12930.0,79,2,415.8,2,3,3,233,8,Silver,2,blue
12931.0,22,57,92347.34,1,1,1,111,3,Bronze,0,red
12932.0,540,8,1698.56,4,1,2,412,7,Silver,3,yellow
12933.0,25,8,1687.03,1,1,2,112,4,Bronze,0,red
12934.0,737,1,181.65,4,4,4,444,12,Platinum,1,green
12935.0,3,15,4243.86,1,1,1,111,3,Bronze,0,red
12936.0,18,4,1063.9,1,2,2,122,5,Bronze,2,blue
12937.0,16,9,3097.61,1,1,1,111,3,Bronze,0,red
12938.0,26,1,114.14,1,4,4,144,9,Gold,2,blue
12939.0,65,20,25264.8,2,1,1,211,4,Bronze,0,red
12940.0,55,2,913.54,2,3,2,232,7,Silver,2,blue
12941.0,725,1,377.49,4,4,3,443,11,Platinum,1,green
12942.0,132,3,942.65,3,3,2,332,8,Silver,3,yellow
12943.0,559,2,496.5,4,3,3,433,10,Gold,1,green
12944.0,36,2,604.51,2,3,3,233,8,Silver,2,blue
12945.0,289,2,900.11,3,3,2,332,8,Silver,3,yellow
12946.0,437,1,324.45,4,4,4,444,12,Platinum,1,green
12947.0,144,6,1908.03,3,2,2,322,7,Silver,3,yellow
12948.0,17,9,2317.43,1,1,1,111,3,Bronze,0,red
12949.0,31,22,15526.7,2,1,1,211,4,Bronze,0,red
12950.0,3,3,1843.0,1,3,2,132,6,Silver,2,blue
12951.0,9,15,3213.7200000000003,1,1,1,111,3,Bronze,0,red
12952.0,6,4,1387.79,1,2,2,122,5,Bronze,2,blue
12953.0,10,2,828.8100000000001,1,3,3,133,7,Silver,2,blue
12954.0,639,1,162.45,4,4,4,444,12,Platinum,1,green
12955.0,2,11,4757.16,1,1,1,111,3,Bronze,0,red
12956.0,307,4,521.89,3,2,3,323,8,Silver,3,yellow
12957.0,10,13,8706.97,1,1,1,111,3,Bronze,0,red
12958.0,401,2,539.49,4,3,3,433,10,Gold,1,green
12959.0,485,1,150.95,4,4,4,444,12,Platinum,1,green
12960.0,414,4,1322.07,4,2,2,422,8,Silver,3,yellow
12961.0,380,1,211.99,3,4,4,344,11,Platinum,1,green
12962.0,8,2,266.39,1,3,4,134,8,Silver,2,blue
